"period","age","industry","u_m","u_w","s_m","s_w","composition","within","total_contrib"
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Information, culture and recreation",5.42818986144344,4.99416314023056,0.0250940976297381,0.0214665073306572,0.0189040133212348,0.0101042733543243,0.0290082866755591
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Wholesale and retail trade",5.87353629976581,4.50125222806345,0.0298124191416676,0.0347080501751809,-0.0253955683414889,0.0442702061711361,0.0188746378296472
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Professional, scientific and technical services",2.62739135047208,2.27927691904637,0.0197439203959536,0.0149455819497152,0.0117719275002843,0.00603795819275167,0.017809885693036
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Forestry, fishing, mining, quarrying, oil and gas",7.89381767376877,8.41300191204589,0.00199889826703968,0.000409564545962853,0.0129584891256257,-0.000625217965493742,0.0123332711601319
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Professional, scientific and technical services",5.50947867298578,4.51736315479694,0.00589266551652634,0.00532198977889779,0.00286103767807735,0.00556311677486448,0.00842415445294184
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Public administration",1.60959959397488,1.18856906619813,0.0385180644409054,0.0454616646018766,-0.00971468217960093,0.0176790148207154,0.00796433264111448
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Business, building and other support services",4.36309367044158,3.48663951524784,0.00795300389795635,0.00788353018013009,0.000272675074177004,0.00693999804830304,0.00721267312248005
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Information, culture and recreation",5.23407361067668,4.67754269691563,0.00669627428542703,0.00614425129564922,0.00273572003382383,0.00357307471740425,0.00630879475122807
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Agriculture",7.20786312340735,7.36766809728183,0.00191790902534335,0.00109478247658904,0.00599875335497329,-0.000240721543379085,0.0057580318115942
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Other services (except public administration)",5.77473751193128,4.62206776715899,0.0043887790801996,0.00450677621800424,-0.000613396632622416,0.00512681872759417,0.00451342209497176
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Utilities",0.510700389105059,0,0.00861278694453424,0.00293116653066722,0.00145080287805456,0.00294775076579804,0.0043985536438526
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Public administration",2.39579914670167,1.94427329362634,0.0106368198038245,0.011438832357322,-0.00174039629011571,0.00498386383712796,0.00324346754701225
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Agriculture",3.18622396370386,5.67285135423331,0.00677097987906072,0.00367198500194993,0.0137271145131129,-0.0129838812557291,0.000743233257383812
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Public administration",8.25859491778774,8.16836841008544,0.0037366760479205,0.00375812668465723,-0.000176184411516892,0.000338114938239095,0.000161930526722204
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Utilities",0,0,0.000561339226929761,0.000155838135079556,0,0,0
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Utilities",0,0,0.00172381411851938,0.000695398311309776,0,0,0
